c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C1CN(C1)C1=Nc2c(C(=NC1c1sccc1)C(=C)C)cccc2	OC1CN(C1)C1=Nc2ccccc2C(=NC1c1cccs1)c1ccccc1	O=C(Nc1cccccc1c1cc1cCcccccccccccccccccccccccccc
C(=O)(NC1[C@@H](c2ccccc2)C1)N(C)CCCCO/N=C\N	CC(C)c1noc(n1)C1CCN(CC1)C(=O)N[C@H]1C[C@@H]1c1ccccc1	NC(=N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)Cc1ccccccccc
C(=N)(c1n(C)ccc1)/C=C\N=C\Nc1cc(ccc1OC(F)(F)F)NCCN(C)CC	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2nccc(n2)c2cc(cn2C)C(=O)N)c1	CN1CCN(CC1)C(=O)c1ccc(cc1)c1cccccccccccccccccccccccccccccccccc
O=c1n2c(ccc3c2cc(cc3)c2[nH]ccc2)n[nH]1	OCc1cc2n[nH]c(=O)n2c2cc(ccc12)c1ccc[nH]1	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(O)c2ccccc12
c1ccc(cc1)CC(C)NC[C@@H](NP(=O)(CNCOCc1ccccc1)O)CCC	CC(C)C[C@H](NP(=O)(O)CNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	CCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(I)c(OC(=O)O)c(=O
N(C)(CCCCCCOc1cc(OC)c(cc1)C/C=C/C=C/Br)C	CN(CCCCCCOc1ccc2c(coc2c1)c1ccc(Br)cc1)CC=C	CCCCCCCCCCCCCCCcccccccccccccCCCC)CC)cCC)cCC)cC
C(C(C)C)/C=C\C(=C)S(=O)NC/C(=C/C=C/C(=O)Nc1cnccc1)/C=C	CC(C)(C)c1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccnc1	CC(C)(C)c1cccccccccccccccccccccccccccccccccccccccccccccc
N(=O)(O)c1ccccc1/C=C/C=C/C	OC(=O)c1ccc(o1)c1ccccc1[N+](=O)[O-]	OC(=O)Cc1cc(cccccccccccccccccccO)
C/C=C\C(=C/CCNC(=O)c1cc(c(Cl)cc1)NC(=O)c1c(=O)[nH]c2nc(ncc2c1)OC)\Cl	COc1ncc2cc(C(=O)Nc3cc(ccc3Cl)C(=O)NC(CCN)c3cccc(Cl)c3)c(=O)[nH]c2n1	COc1cc(cc(c(cccccccccccccccccccccccccccccccccccccccccccccc))))c))c))c)
C=CC(=C)CNC(=O)/C=C/C=C/S(=O)(=O)N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(ccc1F
C(C(=O)O)CC(CP(=O)(O)Cc1c(F)c(F)c(F)c(c1F)F)C	OC(=O)CCC(CP(=O)(O)Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O	CC(=O)CCCCCCC(C()C()c(C()c()c()c()()()()c()c)c))))))c()c)c))
C/C=C\C=C(/C)\CNCc1ccc(cc1)S(=O)N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccccccc
[nH]1c(=O)n(ccc1=O)COCCCC(NS(=O)C=C)(C)C	CC(C)(CCCOCn1ccc(=O)[nH]c1=O)NS(=O)(=O)c1ccccc1	Cc1cc(C)c(c(c1)S(=O)(=O)N[C@H](CCC(=O)O)C(=O)NO)C(=O)O
N1(CCCC1)C(=O)C1C[C@@H](CN1C(=O)CCCC(=C)C)n1nnc(c2ccc(cc2)F)c1	Fc1ccc(cc1)c1cn(nn1)[C@H]1C[C@H](N(C1)C(=O)CCCc1ccccc1)C(=O)N1CCCC1	Fc1ccc(cn1)C(=O)N1CCC[C@H]1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1
N(=C)/C=C(\C)/C/C=C/C(=C(/OC)\C/C=C/C(=O)N(N=C)[C@H](c1ccccc1)CC)/OC	CCC[C@@H]1N(N=Cc2ccccc12)C(=O)/C=C/c1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	COc1cc2nc(c3nCc3c(=O)n(C)c3cc(ccc2O)cccccccccccccccccccccccccccccccccc
C(CC(CPCc1c(c(c(cc1F)F)F)F)C(=O)O)C(=O)O	OC(=O)CCC(CP(=O)(O)Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O	OC(=O)C1CC(CC(Cc2ccccCc)()c()cc()ccccccc)c)))c()c)c)
C(=C)/C=C(/NC(=O)[C@H](C)O/C=C/C=C\C(=C)C=C)\C=C\N=C(/O)\c1ccncc1	C[C@H](Oc1cccc2ccccc12)C(=O)Nc1ccc2oc(nc2c1)c1ccncc1	CC(=O)c1cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
n1(cnc2c1c(=O)n(c(=O)[nH]2)CCN1CN(C(=CC1)N=C)C)C	Cn1cnc2n(C)c(=O)n(CCn3c(=O)n(C)c4ncn(C)c4c3=O)c(=O)c12	Cn1cnc2n(C)c(=O)n(Cc3cc(c(=O)()c(Nc4ccccccc)c)c)c)c)c)c)c)c)c
C(=C\C(=C(\C=C)/S=O)\CCN)\C	Nc1cccc2c(cccc12)S(=O)(=O)O	NS(=O)(=O)c1ccc(cc1)C(=O)c1ccccc1
CCOCC(=O)N/C(=C/C(=C\CC(=O)O)/N(=O)O)/C	CCOC(=O)C(=O)Nc1cc(cc(C(=O)O)c1O)[N+](=O)[O-]	CCCC(OC(=O)C(C)Cc1cn(C)c2ccccc2c(=O)[nH]1
Nc1nc(c2c(n1)occ2CN(/C(=C/C)/C=C\CCNC(C)CCC=O)C)N	CN(Cc1coc2nc(N)nc(N)c12)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	CC(C)(C)c1ccc(cccccccccccccccccccccccccccccccccccccccccc))c))cC
n1c(C)nn(c1C=C)C(=N)SC/C(=N/C/C=C\C=C/C)/N	Cc1nc2c3ccccc3nc(SCc3nc4ccccc4[nH]3)n2n1	Cc1nc(C)c2nc(CNc3ccc(cc3)cccccccccccccccccc
N(=C\N=C\1/CC(=C(CN/C=C/C=C\C=N\C)C=N1)C)\CN	Cc1c(CNc2cccc3ncccc23)cnc2nc(N)nc(N)c12	Cc1cc2nc(cn2c(=O)n(C)c2cc1NC(=O)c1ccncc1
C(=C\C)(/Cl)\C(=C)/C=C(\C#N)/C=C/1\CNC=N1	Cn1cnc2cc(C#N)c(c(CN)c12)c1ccccc1Cl	Cc1ccccccccccccccccccccccccccccccccc
C(/C=C/F)Cn1c(=O)c(ccc1)C(=O)NC(COc1ccc2c([nH]c(=O)[nH]2)c1)c1ccccc1	Fc1ccc(Cn2cccc(C(=O)NC(COc3ccc4[nH]c(=O)[nH]c4c3)c3ccccc3)c2=O)cc1F	OC(=O)[C@H](Cc1cccccccccccccccccccccccccccccccccccccccccccccccc)c)
c12n(C)nc(c1cc(F)c(c2)OC/C=C/CNC)C(=C)/C=C\C(=C)Br	CN(CC=C)C/C=C/COc1cc2n(C)nc(c3ccc(Br)cc3)c2cc1F	CN1CCN(CC1)c1ccccccccccccccccccccccccccccccccccccccc
CCCCC(C)NCC(NCOCc1ccc(Br)cc1)CC(C)C	CCCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccc(Br)cc1)C=O	CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCcc)cCccccccC
C(=O)(N1CCOCC1)C(=C)/N=C(\NCc1ccc(cc1Cl)Cl)/N=C(C)C	Cc1nc2nc(cn2c(c1CN)c1ccc(Cl)cc1Cl)C(=O)N1CCOCC1	CC(C)c1cc(Cc(OCCnccccccccccccccccccccccccccccccCc
c1cc2c(C(=CC=C)C(=O)N2)cc1	COc1ccc2NC(=O)C(=Cc3cnc[nH]3)c2c1	NC(=O)c1ccccccccccccccccccccc
c1ccccc1CN1C(=Nc2cc(ccc2C1)Cl)[C@H](N(C(=O)c1ccccc1)CCC)C	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1	CC(C)C[C@H](Cc1cccccccccccccccccccccccccccccccccccccccccccccccccccccc
C(=C)(/C=N\C(=N)C)Cc1cscc1C	Cc1c(Cc2cnc(C)nc2N)csc1CCO	Cc1c(Cc2cnc(C)nc2N)csc1C(=O)O
c1(ccc(cc1)C)C(=O)N(C(C(C)C)C1=NN(CCN1C/C(=C/C=C\C)/C)/C=C\C)CCCN	Cc1ccc(cc1)C(=O)N(CCCN)C(C1CC1)c1nn2ccc(Cl)c2c(=O)n1Cc1ccccc1	CC(C)CC(CCCCCCCCCCCCCCCCcCcccccccccccccccccccccccccccccccccccccccccc
C(C/C(=C\C=C(\S(=O)N(CC)CC)/C)/Cl)Nc1c(C)c(CCC)cs1	CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc1sc2CCCc2c1C#N	CC(C)c1cCC(c)c(C(cc(Cc(Ccc(Ccc(Cccc)cCCc)c()cc)c)c)c)c)c)
c1(ccccc1)c1cc(cs1)N(C(C)C)C(=O)CCCC(C)C	CC(C)N(C(=O)[C@H]1CC[C@H](C)CC1)c1cc(sc1C(=O)O)c1ccccc1	CC(C)CCCCC(C(C)CC(Ccccccccccccccccccccccccccccccccc
C1CC(=C(CC1)/C=C/C(=C/C=C/C=C/C(=O)O)/C)C	C/C(=C\C=C\C(=C\C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1)c1cccccCCCCCCCC)cCcCC)
c12ccccn1c(cn2)CC(P)P(=O)(O)O	OC(Cc1cnc2ccccn12)(P(=O)(O)O)P(=O)(O)O	OC(=O)c1cc(ccccccccccccccc()O)()O)O)O)O)O
C(=O)CCCC#Cc1cc(cc(c1)O)Cc1c(N)nc(N)nc1	COc1cc(Cc2cnc(N)nc2N)cc(C#CCCCC(=O)O)c1OC	NCC1CN(CCO1)c1c(cnc2[nH]ncc12)c1ccc(Cl)cc1
N(C/C=C/CS(=O)NC(=C)/C=C\C=C)CC	Clc1ccc(NS(=O)(=O)c2ccc3CCNCc3c2)cc1	CC1=C(CSc2ccccc2c1)S(=O)c1ccccc1
C=c1[nH]c2-c3c(NC(=O)Cc2/c/1=C/C)cccc3	[O-][N+](=O)c1ccc2[nH]c3-c4c(NC(=O)Cc3c2c1)cccc4	OC(=O)c1cccccccccccccccccccccccccccccccccccc
c1c(cccc1)CN(C)C/C=c/1\c(=C/C)\nc(N)nc1N	COc1ccc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c1	CN(C)c1cccccccccccccccccccccccccccccccccccccc
O=S(=O)C/C=C\CCNC/C(=C/C)/C=C\C	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(cc1)C(=O)O
C(=C\C)\CCOC/C=C\CNC(=O)CC[C@H](N)C(=O)O	N[C@@H](CCC(=O)Nc1ccc(OCc2ccccc2)cc1)C(=O)O	N[C@@H](CC(=O)O)C(=O)Nc1ccc(Oc2ccccc2)cc1O
O(c1cc(cc(c1)C)C)CCCC1=C(C(=O)O)SCC1=C	Cc1cc(OCCCc2c(sc3ccccc23)C(=O)O)cc(C)c1Cl	CCc1cc(O)cc(CCC(=O)O)C(C)(c1)c1c(O)cccc1OC
Nc1ccc(cc1)S(=O)(=O)N(CCNCCN(CC(C)C)Sc1ccc(cc1)N)CC(C)C	CC(C)CN(CCNCCN(CC(C)C)S(=O)(=O)c1ccc(N)cc1)S(=O)(=O)c1ccc(N)cc1	CC(C)CN(CC(NC(C)C)c1cccc(c1)c1c(C)c2c(N)n(C)C(=O)O)c(C)c(C)c12
S(CCC(C(=O)O)NC(=O)N[C@@H](CCCCNC(=O)/C=C/C=C\C)C(=O)O)C	CSCC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC(C)C)C(=O)O
C(C)(O)(C1CNC[C@H]1Nc1c(C)c(/C=C(\CO)/O)nc(n1)c1ccccc1)C	COc1cc2nc(nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC)c1cc(F)ccc1O	COC(=O)c1cccc(c1)c1ccc(CcCCCCC((CCCCCCCcCcCcccccccccccccccccccccc))
C/C=C\C=C(/C)\c1ccccc1c1nc([nH]c1)/C(=C(/C)\C#N)/C(=C)C#N	Clc1ccc2c3[nH]c(nc3c3ccccc3c2c1)c1c(cccc1C#N)C#N	Cc1cc(cccccccccccccccccccccccccccccccccccccccccccccccccccc
O=C[C@H](CCCO)NC(=O)CS/C=C/CCCC/C/1=C/CC(=O)N/C=N\CN1	Nc1nc2[nH]c(CCCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	NC(=N)c1ccc(OC[C@H]2CCNC[C@H]2CNC[C@H](CC2)S(=O)(=O)c2ccccc2)cc1
N=C/N=C\CC#CC(C)(C)c1cc(c(c(c1)OC)OC)OC	COc1cc(cc(OC)c1OC)C(C)(C)C#Cc1c(C)nc(N)nc1N	COc1cc(Cc2c(Cc(ccccCcC()()(ccccCcccccCcc))Cc
C1CNC[C@@H](NC(=O)/C=C(\NCN)/C=C(/c2ccccc2)\S)C1	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)c1cccc(F)c1	NC(=N)c1ccc(cc1)c1cccCcccCcccccccccccccccccccccccccccccccccc
C=C/C=C\C=C\CC(=C)/C(=N\N)/c1ncccc1	c1[nH]nc(c1c1ccnc2ccccc12)c1ccccn1	NC(=O)c1ccccccccccccccccccccccccccccc
NC(=N)/C=C(\C=C\CCC/C=N\C=C\NCCNC)/C	CNCCN(C)c1cncc(CCc2cc(C)cc(N)n2)c1	NCC1CN(CC1)c1ccccccccccccccccccccccccccccc
[C@@H]1(OC(=O)C)[C@H](OC)OCC[C@@H]1OC(=O)C/C=C\C=C/C	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)C	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)cc1O
CN(C(=O)CN(C(C)C)CCCNCCCNCCC(C)C)/C(=C/C)/C(=C\C)/Cl	CC(C)CCNC(=O)[C@@H]1CNC[C@H](CN2CC(=O)N(CC2(C)C)c2ccccc2Cl)C1	CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCcccccccc)c)
N(C(=O)[C@@H](N/C(=N/C)/O/C=C/C)CC1CCCCC1)CCNC(=C)/C=C\COC	COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)Nc2nc3ccccc3o2)cc1	COCCCOc1cc(ccc1cCC(CNCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcCc)Ccc)cCC
c1(C(c2ccccc2)(SCC)c2ccccc2)ccccc1	CC(=O)c1cccc(c1)C(SCCN)(c1ccccc1)c1ccccc1	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
C(CC=C)[C@H](COc1cncc(c1)/C(=C/C)/N=C(/N)\C=C\N=C\C=C(/C(=C)OC)\OC)N	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@H](N)Cc2ccccc2)c1	COc1cc2nc(cn2c(cn2ccccccccccccccccccccccccccccccccccccccccccccc
C(CCCC#Cc1ccc2nc(NCCOC)n(c3ccncn3)c2c1)CC	COCCNc1nc2ccc(cc2n1c1ccnc(N)n1)C#CC1(O)CCCCC1	CCc1nc(N)nc(c1C)c1cCC(cccccccccccccccCCcCcccccccCCc
C=CCN1C[C@H](CC1)N/C(=N/C(=C)CN(C)C)/N=C/Nc1sc2c(n1)cccn2	C=CC(=O)N1CC[C@@H](C1)Nc1nc(CN2CCOCC2)cc(Nc2nc3cccnc3s2)n1	C[C@@H]1CCN(CC1)c1ccc(Cccccccccccccccccccccccccccccccccccccccc
c1c(C)c(ccc1N(c1c(cccnc(N)ncc1)Cl)Cc1nccs1)C	Cc1cc2nc(c3nccs3)n(c3cc4nc(N)nc(N)c4cc3Cl)c2cc1C	Cc1nc(C)c(s1)c1nc(Nc2cccc(c2)c2cc3c(N)ncnc3cc2C)cc1Cl
c1(=C)/c(=C\COCCCCCNC)/cc(C(=O)NCC(C(=O)O)NS(=O)(=O)C/C=C\C)[nH]1	OC(=O)[C@H](CNC(=O)c1cc2cc(OCCC3CCNCC3)ccc2[nH]1)NS(=O)(=O)c1ccccc1	OC(=O)[C@H](CCCCNC(=Oc1ccccccccCcCcCCcCCcCCcCcCcCccccccccccccccccccc))
NC(=CCCCNC[C@H](O)CCSCCCC)N	CCCCSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O	NC(=O)[C@H]1CC[C@H]C[CCCCCCCCCCCCCCCCCCCc)cC
C(/C=C(\C=C(/C)\C(=C)/C(=C/C(=C\CN)/C)/C)/Br)F	CC1=CC(C)(C)Nc2ccc3-c4c(OCc3c12)c(F)cc(Br)c4	CN1c2ccc(Cc2c(=O)[nH]c(=O)[nH]2)c1c1ccc(Br)cc1
C(=C\C=C(/CO)\OC/C=C\C(=C)Cl)/Cl	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	OC(=O)c1cc(ccccccccccccc(Occc
c12ccccc1cccc2NC(=O)C(=O)NC([C@H](O)CO)OCC	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2cccc3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
c1ccnc(c1NC)NCCNC(=O)/C(=C/c1cc(ccc1)NS(=O)=O)/N	CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(=O)(=O)C)ccc2[nH]1	Nc1nc2cccc(c(c2ccCcccccccc)ccccccccccccccccccccccccccccccccccc
C(F)(F)(F)/C=C/C(=O)NC/C=C\1/NC[C@H](CC1)C	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F	CC[C@@H]1[C@H](C)CNc2cc(=O)[nH]c(=O)c2c1=O)C(=O)O
FC(c1ccccc1CN(C1CN(C)CC1)/C(=C/C=C)/C=C)(F)F	CN1CC[C@@H](C1)N(Cc1ccccc1C(F)(F)F)c1ccc(C#N)c(Cl)c1	FC(F)(F)c1ccccc1C(C)C((C)C)C(cccccccccccccccccccccccc
OC[C@H](NC(=O)c1ccccc1)OCCO	OC[C@H]1O[C@@H](NC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)cc1
N(/N=C/C(=c\1/c(=C)cccc1)/CC)C(=O)CCCNc1cccc(Cl)c1	Clc1cccc(NC(=O)CCC(=O)N/N=C/c2c3ccccc3cc3ccccc23)c1	CC(C)c(ccccccccccccccccccccccccccccccccccccccccccccccccccc
c1cc2C(C)(C)CCC(c2cc1C(C)C/C=C/C=C/C(=O)O)C	C/C(=C\C(=O)O)/C=C/[C@@H]1CCC[C@@H]1c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1CC1)(C)c1ccc(cc1)CC(C)c1cccccC1
N#Cc1cc(OC/C=C\C=C(\N)/C)cc(c1)C#N	Cc1n[nH]c2ccc(F)c(Oc3cc(cc(c3)C#N)C#N)c12	CC1(C)Nc2cc3cc(OCc3c(F)cccc3F)c(C#N)c2[nH]1
C\1(=C\CC(C)(C)CCC\C(=C1)\C1(CC1)C/C=C/C(=C/C)/C)/C(C)(C)C	C/C(=C\C(=O)O)/C=C/CC1(CC1)c1cc(cc2c1CCC2(C)C)C(C)(C)C	C/C(=C\C(=O)O)/C=C/C1CC1(C1)c1ccc2c(c1)C(C)(C)CCCCCCCCCCCCCC
C1(CO/C=C/C=C\C=C\O1)CN1C(=O)NCc2c1ccs2	On1c(=O)n(CC2COc3ccccc3O2)c2ccsc2c1=O	NC(=O)c1ccc(NC(NS(=O)(=O)c2cccs2)c2ccccc2)c1
Oc1cc(ccc1)O/C(=C/C/C=C/C=C)/C=C	Cc1cc(Oc2cccc(O)c2)cc(n1)c1ccccc1	Oc1cc(Cc2ccccc2)ccccccccccccccc
C(=C\O)/C(=C\C)/C(=O)N/N=C/c1cc(/C=C\C=C)ccc1	COc1ccc2ccccc2c1/C=N/NC(=O)c1ccc(O)c(O)c1	NC(=O)c1ccc2nc([nH]c2c1)c1ccc(Oc2ccc3[nH]c(=O)c(C)cc3c2c1
CC(C)O/N=C(/c1nc(sc1)N)\C(=O)NCBO	CC(C)(O/N=C(\C(=O)NCB(O)O)/c1csc(N)n1)C(=O)O	CC(C)(C)O(CO)C(c1cccccccccccc)()c)c))()O)O)O
c1(ccccc1)C/C=C\C=C\C(=N)N(C=O)C	Cn1c(ncc(O)c1=O)c1cccc(c1)c1ccccc1	NC(=O)c1cccc(c1cccccccccccccccccccc
O(C(=C)C)C(=N)N[C@H](C(=O)NCCNc1ccc(cc1)OC)CC1CCCCC1	COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)Nc2nc3ccccc3o2)cc1	CC(C)C[C@H](CC(=O)O)C(=O)N[C@@H]1Cc2cn(CCCCCCNC1=O)c1ccccc21
C(=C\CCC(=O)NCNN)\C(=C/C)\C(=C\C=C)\S	O=C(Cc1ccc(cc1)c1cccs1)Nc1cc(n[nH]1)C1CC1	NS(=O)(=O)c1cccc(NCc2cccccccccccccccccc
C(=C(\C=C)/Cl)\C=C\NS(=O)/C=C/SC=C	OC(=O)c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1	OC(=O)c1cccccccccccccccccccccccccc
C(c1c(c2c(N)ncnc2nc1)C)N/C(=C/C(=C\C)/OCC)/C	CCOc1ccc(OCC)c(NCc2cnc3nc(N)nc(N)c3c2C)c1	COc1cc(Nc2nccc(nn2cc(ccccccccccccccccccccccc
NC(C)C/C(=C/C=C/Oc1ccc(c(I)c1)O)/C	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	NC(=O)CCCc1c(Cc2c(C)c(O)cc(O)c2)c(I)c1
C1CC[C@@H]2CC/C(=C/C=O)/CC2CC[C@@H]([C@@]1(C#C)O)C	CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C#C
CCN/N=C\C=C\c1c(=O)ccn(n1)/C(=C/COC(F)F)/C=C\C	FC(F)(F)Oc1cccc(c1)n1ccc(=O)c(n1)c1ccnn1c1ccccc1	FC(F)(F)c1cccc(c1)c1cccccccccccccccccccccccccccccc
C(O)/C(=C/C=C(\C)/NC(=O)CN/C=C/C=C/Cl)/C	OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1	OC(=O)Cc1ccccccccccccccccccccccccccccc
c1cc(S(=O)N2CCN(c3ccc(cc3)N(=O)O)CC2)ccc1C(C)(C)C	C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)[N+](=O)[O-]	CC(C)(C)c1cccccccccccCcc(Ccc()cc()cc)c()ccc)ccccccccccccccccccc
Cc1ncncc1C#CCC/C(=C\C=C\OC)/OC	CCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1OC	COc1cc(Cc2c(Cl)ccccCcCcccccCCcCccC)
C1=CC=CC/C/1=C\C=C/1\SC=CC1	OC(=O)Cc1csc2ccc3ccccc3c12	OC(=O)Cc1ccccccccccccccccccccc
CC/N=c\1/ccccn1CC(=N)/C=C\N=C\NC/C=C\COCC(O)CN(C)C	CN(C)CC(O)COc1ccc(Nc2nccc(n2)c2c(C)nc3ccccn23)cc1	CN(C)CC(CCcCcccccccccccccccccccccccccccccccccccccccccccccc
CCCC(=C)/C(=C\C=C\C1=NC(C=O)CO1)/OC	CCCc1cc(cc(OC)c1OC)C1=NC(CO1)C(=O)NO	CCCCOc1ccc(cccccccccccccCc)Cc)c))Cc)
C1C[C@H](C[C@H]1CC)[C@@H]1CCC2=CC(=O)CCC2C1	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
C/C(=C(/C=O)\CC)/NCCC(=O)O	N[C@@H](Cn1c2CCCc2c(=O)[nH]c1=O)C(=O)O	OC(=O)C1CCc2c([nH]c12)(C)Cc1cc(O)ccc1Cl
C(C)CCCNS(=O)/C=C/C=C/CNCC(=C)N/C(=C/C=N)/C	O=C(NCc1ccc(cc1)S(=O)(=O)N1CCCCC1)c1cc2cnccc2[nH]1	CC(C)CCCcCCcCCcCcCcCcCcCcCCcCcCCcCcccccccccccccccccccccc
C(#N)/C(=C/C=C)/CO/C(=C/C=C/CCCCCC)/C=C	CCCCCCc1ccc(Oc2ccccc2C#N)c(O)c1	NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc2c1Cl
c1ccc(C(=O)O)cc1/C(=C/C=C/C/C=C\C=C/C)/C	NC(=O)c1cc(cc(c1)c1ccc(cc1)c1ccccc1)C(=O)O	OC(=O)C(=O)c1ccc2c(c1)c(ccccccccccccccccccccccc
C(C(C=O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](CCCC)N)O)CC	CCCC[C@@H](N)[C@H](O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)OC	CCCC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](O)[C@H](O)[C@H](O)C(=O)O)C(=O)
c12ccccc1c(nc(CNC(=O)N(c1c(C=O)n(CC#CC)c(n1)NC[C@H](N)C)C)n2)C	CC#CCn1c(nc2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12)N1CCC[C@@H](N)C1	CC1CCCN(C(=O)[C@@H]1c1cc(NC(CccCcCcccccccccccccccccccccccccccccc))c))c
N(=N)/C(=C\NC[C@H](O)CCCCO)/C	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cc(CO)nn1	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)n1
c1c(scc1)CNc1c(C(=O)N(C)CC)c(CC)c(C)s1	CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2CCCCc12	CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2CCC(C)(C)ccc12
CN(/C(=C/C=C/C(=O)NC(CC)C(=O)O)/C=C)Cc1coc2c1c(N)nc(n2)N	CN(Cc1coc2nc(N)nc(N)c12)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	CN1CCN(CC(=O)CC(C1)c1cccccccccccccccccccccccccccccccccccccccccc
