c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1ccc2ccccc2c1c1ccc(cc1)C(=O)c
OCC(CO)O[C@H](C)NC(=O)CCCc1ccc2c(c1)CCCC2	OC[C@H]1O[C@@H](NC(=O)CCCc2ccc3CCCCc3c2)[C@H](O)[C@@H](O)[C@@H]1O	C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
C(C)/C=C\C=C/1\C(=CC=CC1)C(=O)C(=O)CC	C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c(C)cccc12	CC(=O)CC(O)C)Cc1cccc(c1ccccccccccc
C(=C\C=C/C/C=N/C=C/C=N/NC)\C	c1cc(n[nH]1)c1cnc(s1)c1ccccc1	c1cccc[nH]c1=cccccccccccccccc
C(C)/C=C\1/C[C@@H](O)CC[C@@]1(CCC[C@@]1(C)CCC=C1/C=C/C)C	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1	C[C@]12CC[C@H]3[C@@H](CC==CC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
C(CO)O[C@H]([C@@H](CO)O)CS/C(=C/C=C\C)/C	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1nc2ccccc2s1	OC(@[]1C@@H](CHc(cc[CC@@CCOO@O@)O)HH)H)@@)@@@@@H]O@@]O]H]
O=P(O)OCC1[C@@H](O)C[C@@H](O1)N/C=C\C(=O)NC	O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)n1cc(F)c(=O)[nH]c1=O	OC[C@H]1O[C@H]([C@H](OP(=O)(O)O)[C@@H]1O)n1ccc(=O)[nH]c1=O
C/C=C(/F)\C=C(/CCNCc1ccc(Br)cc1F)\OC	OC(=O)COc1cc(F)ccc1C(=S)NCc1ccc(Br)cc1F	OC(=O)COc1cc(F)ccc1C(=S)NCc1ccc(Br)cc1F
OC(c1cc(Br)c(O)cc1)(c1cccc2c1c(ccc2)C=O)c1cc(Br)ccc1	Oc1ccc(cc1Br)C1(OC(=O)c2ccc(Cl)c3cccc1c23)c1ccc(O)c(Br)c1	OC(=O)COc1cc(F)ccc1C(=O)ccccccccccccccccccccccccccccccccc
C/C=C\CN(Cc1c(cccc1F)F)C(=N)c1c(cccc1F)F	Cc1cccc2n(Cc3c(F)cccc3F)c(nc12)c1c(F)cccc1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)cc1F
c1cc(ccc1)Oc1ccc(cc1)C(C(=O)N)C	CC1(C(=O)NC(=O)NC1=O)c1ccc(Oc2ccccc2)cc1	NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21c1
C=C(/C(=C\C=C)/F)CN/N=C/Nc1sc(nn1)[C@](C)(c1sccn1)O	Cc1csc(n1)[C@](C)(O)c1nnc(Nc2ccn(Cc3c(F)cccc3F)n2)s1	CC(@n((cccccccccccccccccccccccccccccccccccccc
C(=C)(C=C)C(=C)OC(C)/C=C(\C=C)/C(=C)NC(C)C	CC1Oc2ccc(Cl)cc2-c2ccc3NC(C)(C)C=C(C)c3c12	CC1Oc2ccc(cc2ccccccccccccccccccccccc
O1[C@H](CO)CC[C@@H]1n1ccc(C)c1N=C	Nc1ncnc2n(cc(I)c12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Cc1ccc(cc1)C(=O)NC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
c1c[nH]c(n1)CC1=C(C/C(=C\C=C/COCCCNCC(=C)C)/O1)C	Cc1c(oc2cccc(OCCCNCc3cccnc3)c12)C(=O)c1nccn1C	Cc1cc(ccccccccccccccccccccccccccccccccccccccccccc
C(P(=O)(O)O)(Nc1c2c(cccc2)ccn1)PO	OP(=O)(O)C(Nc1nccc2ccccc12)P(=O)(O)O	OC(=O)CNc1ccc2ccccc12()P(=O)(O)O
C(CC(c1ccccc1)C(=C)C)NC(=O)/C=C/C=C\N=C	O=C(NCCC(c1ccccc1)c1ccccc1)c1cccnc1	O=C(Cc1ccc2ccccc2c1)Nc1cc(n[nH]1)C1CC1
C(/C(=N/C=N)/C(=C)c1ccc(c(c1)N(CCCOC)C)OCC)C	CCc1nc(N)nc(N)c1c1ccc2OC(C)(C)C(=O)N(CCCOC)c2c1	CCOC(=O)CCc1ccCCcccccccccccccccccccccccccccc
C1CC1C(=O)N1CC(C1)NC/C=C/N=C\C/C=C\C=C(\C(=C\C=C/C)\C)/N	Nc1ncc(C(=O)NC2CN(C2)C(=O)C2CC2)c2ccc(nc12)c1cccc(F)c1	O=C(NCCc1cccCc1)c1cccc(c1)ccccccccccccccCCCCCCCCC
O=C(O)/C(=C/C)/C=C/C=C(/CCC)\NCc1ccccc1	OC(=O)c1cccc2c3CCCCc3n(Cc3ccccc3)c12	OC(=O)c1cccc2c3CCCCc3n(Cc3ccccc3)c12
C\1=C(\C=C\NCCC/C=C1)/C#C/C(=C/C)/C=C\CC	CC1(C)CCNc2cc(ccc12)C#Cc1ccc(cc1)C(=O)O	Nc1nc2cccc(c3ccc(cc3)C(cccccCcccccccccccccc
C(CC/C=C\NCc1c(C)c(N)ccc1)CCCC	CCCCCCc1ccn(Cc2cccc(N)c2C)c(=O)c1	CCCCCCc1ccn(Cc2ccccc2Cl)c(=O)c1
C=C(SC)C(=O)NCSCCCC(CCCC(=O)N(C)CC)C	CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2CCC(C)Cc12	CCNC(=O)[C@@H]1C[C@H](CN1C(=O)c1coc2ccccc12)NC(=O)c1cc(CC)
NCC/N=C(\NC)/C(=C/C)/C=C\C	NNC(=O)c1cn2ccc3ccccc3c2n1	NCC1nc(Nc2ccc(cccccccccccccccc
C(=C\C)\C=C\CC(C)NC(=O)CN(C1=CCC[C@H](C1)C(=O)O)/C(=C/C=C)/C	OC(=O)[C@@H](Cc1ccccc1)NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	OC(=O)[C@H](CCc1ccccc1)NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O
C=CN/C=C(/C(=O)Nc1n(nc(CCCN(CC)C(C)C)c1)c1c(F)cccc1)\C=N	CC(C)N1CCC(CC1)c1cc(NC(=O)c2cnn3cccnc23)n(n1)c1ccc(cc1F)C1CC1	CC(C)CCN1C(C)C(=O)N(C)c2cnc(cccccccccccccccccccccccccccccccccccc
C(=C\C(=C\O/C=C\c1c(O)cc(O)cc1)\C)\C	NC(=O)c1cccc2C(=O)/C(=C/c3ccc(O)cc3O)/Oc12	Oc1cc(O)c2c(c1)oc(cc2ccccccccccccccccc
n1c(nc2c(c1NC1CCNC1)cccc2)C=C	Oc1ccccc1c1nc(N[C@H]2CCNC2)c2ccccc2n1	Cc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CC2(CNC2)C1
C(OC(=C)CCNCc1c(cc(cc1Br)Br)Br)C(=O)O	OC(=O)COc1cc(Cl)ccc1C(=O)NCc1c(Br)cc(Br)cc1Br	OC(=O)c1cc((Br)cccc1Occccccccccccccc(cccc)ccc
N=CC(=C)N(c1ccc(cc1)C(F)F)C(C)CCNC(=C)/N=C\CC(F)(F)F	FC(F)(F)c1ccc(cc1)N(C1CCN(CC1)c1ccc(cn1)C(F)(F)F)c1cccnc1	CCC1CCN(C)c2cc3n(C)c(=O)cc(c3cc12)C(F)(F)F
c1cccc(c1)CCCNCNCCC(C)CC(=O)/C(=C/C=C\C)/C	O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CC1)CC(=O)c1ccccc1O2	O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CC1)CC(=O)c1ccccc1
C1(=C)CC(=CN1CCCCCCNC(=O)CNC(=O)[C@H](CCC)CC(=O)NO)C	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@H]1Cc2cn(CCCCCCNC1=O)c1ccccc21	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@H]1Cc2cn(CCCCCCNC1=O)c1ccccc21
C(=C\C(=N/CN)\OCC(CC)CC)\N	Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1	Nc1nc(N)nc(OCCCCC(=O)N)c1OC
C1C=C(C(=O)NC1=N)C(=O)Nc1cc(ccc1Cl)C(=O)OC	COC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1	COC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1
S/C(=C(/C)\N=C\Nc1cc(ccc1)C)/CC	CC(=O)c1sc(Nc2ccc3ccccc3c2)nc1C	Cc1cc(cccc(cccccccccccccccccccccccccc
O=N(O)C/C=C(\C(=C/C)\CC)/CN	OCC1Cc2ccc(cc2CN1)[N+](=O)[O-]	OC[C@H]1ccccccccccccccccccccccc[[)[[OO[][]][O[O][][
COc1cc(/C=C/C(=C\C)/C)cc(C(C)C#CC/C(=N\C(=N)N)/N)c1	COc1cc(cc(c1)c1cc(C)cc(C)c1)C(C)C#Cc1c(C)nc(N)nc1N	COc1cc(cc(c1)c1ccccC1)C(CC(C)C)CCC)))ccccccccccc
C(=C\C(=O)O/C=C/C=C\CNCCC)/C(F)F	CC[C@@H]1[C@H](C)CNc2cc3oc(=O)cc(c3cc12)C(F)(F)F	CCC(NC(=O)c1cccc(OC2CCNC(=O)c2ccc(cc)cccc)
Br/C(=C/C=C/C[C@@H](c1ccc(Br)cc1)NC(=O)[C@@H](O)Cc1ccccc1)/C	CN1[C@@H]([C@@H](O[C@@H](Cc2ccccc2)C1=O)c1ccc(Br)cc1)c1ccc(Br)cc1	OC([C@H]1Cccccccc(C((CCCCC(cccccccccccccccccccccccccccccccccccccccc
C/C=C\N=C(\NS(=O)C)/CCNc1c(cnc(n1)N/C/1=C/C=C/NC(=O)C\C=C1)C(F)(F)F	CN(c1ncccc1CNc1nc(Nc2ccc3NC(=O)Cc3c2)ncc1C(F)(F)F)S(=O)(=O)C	CC(cnc(cccccccccccccccccccccccccccc(())))()))))))(())))))))))
N#Cc1ccc(c(CN)c1c1ccccc1)N(C)C	Cn1cnc2cc(C#N)c(c(CN)c12)c1ccccc1Cl	CN1CCcccccccccccccccccccccccccccccccccccc
C(N(C=N)CC)CCOC(=C)/C=C/N(c1ccccc1)Cc1ccc2ccc(C(=N)N)cc2c1	CC(=N)N1CCC(CC1)Oc1ccc2c(c1)n(Cc1ccc3ccc(cc3c1)C(=N)N)c1ccccc21	CC(=N)N1CCC(CC1)Oc1ccc2c(c1)n(Cc1ccc3ccc(cc3c1)C(=N)N)c1ccccc21
O(PO)C[C@@H](O)[C@@H](O)[C@H](O)CCOP(O)O	CO[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
C(CCO/C=C/C=C(/OC)\CC/C=C/N=C\1/N=C(N)N=C(N)C1)CCC(=O)O	COc1ccc(OCCCCCC(=O)O)cc1Cc1cnc2nc(N)nc(N)c2c1C	COC(=O)c1ccccc1C(cccccccccccccccccccCcccccccccccccCccccCc
OCC(=O)NCCc1c(=C)c(=C)[nH]c1C	COCC(=O)NCCc1c(C)[nH]c2ccc(O)cc12	OC(=O)CNC(=O)c1nc2cc(ccc2cccccccccccc
O=C(O)/C=C(\C)/C=C/C([C@H](C)c1ccc2c(C(C)CCC2)c1)C	C/C(=C\C(=O)O)/C=C/[C@@H]1CC(=C)C[C@@H]1c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/[C@H]1CC(=CC[C@@H]1c1ccc2ccc(CCCCCCCCCCCCCCCCCCCCCC
C1OCCN(C1)C(=O)/C(=C/CN/C=N/C=C(\Cc1cncs1)/C#N)/C=C\C	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)C(=O)N2CCOCC2)ncc1C#N	CN1CCN(CC1)c1cc(Nc2cc(C)ncc2N)cs1
C/C=C\C=C/CCN/C=C(/c1ccnc(n1)N)\N	Cc1nc(cn1Cc1c(Cl)cccc1Cl)c1ccnc(N)n1	Cc1ccccc2ccccccccccccccccccccccccc
C/C=C(/c1ncncc1)\C(=N/C)\N/C(=C/CNC/C=C/C=C\CC(F)F)/C(=C\C)/C	Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc1ncccc1c1ccncn1	Cc1ccc(cc1)c1cccccccccc(ccccccccccccccccccccccccccFccccF
C\1=C\CCCCC/C=C(/C(=C\C=C\C(=O)OCC1)/O)\Cl	Oc1cc(O)c2c(CC(=O)CCC/C=C\CCOC2=O)c1Cl	OC1=O)C(=O)c1ccCccCCccccccccccccccCCccCCCCCCCC
C(CC[C@@](O)(c1cccc(c1)Cl)C1CN(CCC1)CN[C@H](C)CC1CCCCC1)C	CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@H](C1)[C@@](O)(CCCCOC)c1cccc(Cl)c1	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N
N(=C\CC(=O)N/C(=C/C(=N)C1CCN(CC1)C(C)C)/N/C(=C/C=C/C(C)C)/CF)\N/C=C\C	CC(C)N1CCC(CC1)c1cc(NC(=O)c2cnn3cccnc23)n(n1)c1ccc(cc1F)C1CC1	CC(C)n1nc(Nc2cc(ccn2)C(F)(F)ccccc(cccccccccccccccCCCCC)CCCCC)CC
C=C/C=C\CCN(C/C=C/C)C(=O)c1ocnc1	Nc1ncc(o1)C(=O)N(Cc1ccccc1)Cc1ccccc1	Cc1c(oc2cccc(c2ccc(cc2)C(=O)ccccccccccccccccc
c1c(cccc1)C/C=C\C=C(/C)\C=N\C=C/CN	Cn1c(ncc(O)c1=O)c1cccc(c1)c1ccccc1	CC(=O)c1cccc(c1)c1cc2nc(N)nc(N)c2cc1C
[C@H]1(N)CC(NCC1)C/C(=C\C(=C(/C)\OC)\OC)/C	CCCC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1N	COc1cc2CCN3C[C@@H]([C@@H](N)C[C@H]3c2cc1OC)N1C[C@@H](CF)CC1=O
C(CC)CNC(=O)N[C@@H](CCCCNC(=O)C(=C)/C=C\C(=C)I)C(=O)O	OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC=C)C(=O)O
Cl/C=C/C=C(/C(=O)N(C[C@@H](C(C)C)N(CCCN)C(=O)c1ccc(C)cc1)Cc1ccccc1)\C	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)n1Cc1ccccc1
NN(c1ccccc1)CC1=NN(C=C(OC)C1)/C(=C/C=C/N(C(=O)C(C)C)CC1CC1)/C	COc1cn(nc(c2ccnn2c2ccccc2)c1=O)c1ccc2N(CC3CC3)C(=O)C(C)(C)c2c1F	COc1ccc(cc1c1ccnc(NC2CcccCCCCccccccccccCCCCCCCcCCccCcCccCccCc
C(C)CCCCCC/C(=C/C=C/Oc1ccccc1)/C	CCCCCCCCc1ccc(Oc2ccccc2)c(O)c1	CCCCCCc1ccc(Oc2ccccc2C#N)c(O)c1
CS/C=C\CN(C)CC(C)Oc1c(cccc1)O	On1c(=O)n(CC2COc3ccccc3O2)c2ccsc2c1=O	CC(Cc(ccccccccccccccc(CC(Cccccccccccccc
CO/C=C/C1=C(C[C@H](C1)CCCCN(Cc1ccccc1)C)/C=C/OC	COc1cc2C[C@@H](CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	COc1cc2C[C@@H](CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
c1cc(C)cc(CC(C(=O)OC)[C@H](NC(=O)c2ccc(c3ccccc3)cc2)C)c1	COC(=O)[C@H](Cc1cccc(c1)C(=N)N)[C@@H](C)NC(=O)c1ccc(cc1)c1cccc(CN)c1	COC(=O)[C@H](Cc1c[ccc(cc1)C(=N)c1ccc(cc1)ccccccccccccccccc))
C/C=C\C(=C)OCCSC1=N/C(=C/C=C)/CN1CCO/C=C/C=C/C	Cc1ccc(OCCn2c(SCCOc3ccccc3)nc3ccccc23)cc1	Cc1cccc(OCCn2cccncccccccccccccccccccccccccccc
C=C/C(=C(\COC/C=C/C=C/C=C\C/C(=C(/C(=N)C(=O)O)\CO)/O)/C)/O	COC(=O)c1c(O)cccc1OC/C=C/c1cccc(c1)c1onc(C(=O)O)c1CO	COc1cc(ccc1Oc1ccccc1)C(=O)OccccccccccccccccccccccOc
O=C(O)C/C=C/C=N/OCCO/N=C/C1=CCNCN1	OC(=O)c1cccc(/C=N/OCCO/N=C/c2cc(=O)[nH]c(=O)[nH]2)c1	OC(=O)c1cccc(/C=N/OCCO/N=C/c2cc(=O)[nH]c(=O)[nH]2)c1
C(=N\N=C\N/N=C/C/C(=C\F)/C=C\C(=C\O/C(=C/C(=C)Cl)/C)\Br)\C	Fc1c(Cc2n[nH]c3nnccc23)ccc(Br)c1Oc1cc(Cl)cc(c1)C#N	Fc1c(Cc2cnc(ccccccccccccccccccccccccccccccccccccccc
C=C/C(=C\C(=C)CNCCS/C(=C\C)/S(=O)(=O)NCCC(c1ccccc1)c1ccccc1)/Cl	OC(=O)C(=O)N(Cc1ccc(s1)S(=O)(=O)NCCC(c1ccccc1)c1ccccc1)Cc1cccc(Cl)c1	OC(=O)C(=O)N(Cc1ccc(s1)S(=O)(=O)NCCC(c1ccccc1)c1ccccc1)Cc1cccc(Cl)c1
c1c(cc(cc1)/C(=C/C=C/CNCc1ccnc(c1)Cl)/S)SCC(=O)N	NC(=O)c1cc2c(cccc2s1)c1ccc(s1)C(=O)NCc1ccnc(Cl)c1	CC(=O)c1cccccccccccccccccccccccccccccccccccccccccc
c12c(cc(cc1)SCCn1nc(c3c(c1=O)ccc(Cl)c3)CC)cccc2	OC(=O)Cc1nn(Cc2nc3c(ccc4ccccc34)s2)c(=O)c2ccc(Cl)cc12	OC(=O)Cc1ccc2ccccccScccccccccccccccccccccccccccccccccccc
N(=C\C=C\N1CCNCC1)\C=C\NCc1nc(NCC/C=C\C=C(\O)/C)sc1	COc1ccc2CN(C(=O)c2c1)c1nc(cs1)C(=O)Nc1cnccc1N1CCNCC1	Cc1cc(C)cc(Cn2cnccccccccccccccccccccccccccc
OC[C@@H](OC(C)C)Nc1cc(ncn1)N	Nc1ncnc2n(cc(I)c12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	CN(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12
FC(OC/C=C\CCC(=O)N/C=C/C(=N)CC)F	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	CC[C@c]1(C)Nc2ccc(cccccccccccccccccc))F)
O=S(=O)(O)c1cc2c(cc1)c(ccc2)C(=O)NCc1ccccc1	Nc1ccc(CN2C(=O)c3cccc4cc(cc(C2=O)c34)S(=O)(=O)[O-])cc1	OS(=O)(=O)c1cccc2cccc(Nc3ccccc3)c12
O=CCC/C=C/C=C/C(=C\C=C)/Cl	OC(=O)C1CCc2c(C1)[nH]c1ccc(Cl)cc21	OC(=O)[C@@H]1Cc2ccccc2N1C(=O)c1ccc(C
CCC/C=C\CC1CCC(C(=O)C)(C)CC1	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O	CC12CCC(CC(C)(C)C1)C/C=CCCC(CCCCCCCCCCCCCCCCCCCCCCCCCCC
c1c(CN(C)CCCCCCc2cc(OC)c(cc2)OC)cccc1	COc1cc2C[C@@H](CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
C(CO)c1c(c(cs1)CC/C=N\C(=N)C)C	Cc1c(Cc2cnc(C)nc2N)csc1CCO	Cc1nc2ccc(cc2n1c1ncnc(N)n1)C#CC1(O)CCCCC1
n1c(cc[nH]ncc(C(=O)NC(=C)C(=N)C(F)F)c1)NC(CC)CN	Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(n1)C(F)(F)F	FC(F)(F)c1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2)ncn1
C(=C\1/C(=O)OCC/C=C\CCCCC/C1=C\Cl)(\C)/O	Oc1cc(O)c2c(CC(=O)CCC/C=C\CCOC2=O)c1Cl	Oc1cc(C=O)ccc1OCC(C)(CCCCCCCcccccccccccccccc
N(O)C(=O)CCO/C=C/C=C/C/C=C\C=C/C	ONC(=O)CCOc1ccc(cc1)c1ccc(cc1)C#N	OC(=O)COc1c(Br)c(sc1C(=O)O)c1ccc(O)cc1
ClC/C=C(/Cl)\C(=C)C(OCc1ccccc1)Cn1cncc1	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
C(=O)([C@H](/C=C/C/C=C\C(=C)OC)C)O	COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O	COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O
C(=C\C=N/C)(\C)/CN(S(=O)(=O)/C(=C/C=C(/OC)\C)/C)CC=O	COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)Cc1ccncc1	COc1ccc(cc1)S(=O)(=O)N(CC(ccccccccc))c))))))c)ccccc
C=C(C)/C=C(/C/C(=C/C=C)/CC(=O)N)\C	Cc1cccc(c1)[C@]12SCCN1C(=O)c1ccccc21	NC(=O)c1cc(cc(c1)c1ccc(cc1)c1ccccc1)C(=O)O
C(=C)(C)/C=N\C=C\N(CCNCC)C	C1CNCCN(C1)c1cncc(c1)c1ccccc1	CN1CCN(CC1)c1cncc(c1)c1ccccc1
C(=C\C)(\C=C\Br)/C1(C/C=C\C=C\2/CC(=CC=C2)C(=O)O1)/C(=C/C=C)/C=C/Br	Oc1ccc(cc1Br)C1(OC(=O)c2ccc(Cl)c3cccc1c23)c1ccc(O)c(Br)c1	Oc1ccc(cc1Br)C1(OC(=O)c2ccc(Cl)c3cccc1c23)c1ccc(O)c(Br)c1
C1CC(=C(C(C1)(C)C)/C=C/C(=C/C=C/CC)/C)C	C/C(=C\C=C\C(=C\C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C	C/C(=C\C==/\C(=C/C(=C)C)/C=C/C1=CC(C)(C)CCC1)(CC(=O)C)C(=O)CCCC
c1(ccccc1Cl)N(C)CCN(CC)CCNCCC(=O)NC(CC(C)C)CC	CC(C)CC(CC(C)C)NC(=O)[C@@H]1CNC[C@@H](C1)N1CC(=O)N(CC1(C)C)c1ccccc1Cl	CC(C)CCNC(=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccccccccccccccl
c1c(cc(cc1)CNC/C=C\C(=C/C)\C(=O)N[C@H](C=O)CCC(=O)O)SC(=C)/N=C\N	Nc1nc2sc3cccc(CNc4ccc(cc4)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c3c2c(=O)[nH]1	Cc1nc2ccc(NC(=O)c3cccccccccc((CCCCCC(CCCCcccc()))c))))))))))c)OO))
O=C(c1ccccc1)CNCCC/C=C/C=C/C(=O)N	C[C@H](CCc1ccc(cc1)C(=O)N)NCC(=O)c1ccc(F)cc1	Nc1ccc(CNCCCO)ccCCccccccccccccccccccccccccc
n1(cccc1/C=C/C(=O)NC/C=C/C=C/S(=O)(=O)c1cc(cc(c1)F)F)C=C	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccn3cccc3c2)cc1	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccn3cccc3c2)cc1
C\1=C/C=C\2/NC(C)(C)C=C/C2=C\COc2c1cc(cc2)Cl	CC1Oc2ccc(Cl)cc2-c2ccc3NC(C)(C)C=C(C)c3c12	CC1=C)ccc(cccccccccccccccccccccccccccccccccccccccccc
C/C(=C\C)/C=C/C=C/N=C\N=C\N	Nc1ncnc2ccc(cc12)c1cccc(Cl)c1	Nc1ncnc2ccc(cc12)c1cccc(Cl)c1
C(=O)(C/C=C/Br)NCCCNC(C)(C)C	CC(C)(C)NCCCNC(=O)c1cccc(Br)c1	NC(=O)c1cc(F)cc2CN(C3CCN(CC3)C3CCC(F)(F)CC3)C(=O)c12
CC(=C)/C=C/C=C\C=C\C1=CCCCC1(C)C	C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C	C/C(=C\C=C/C(=C/C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C
C(C)N(C)CCCCCCOC(=C)/C=C/S/N=C/C(=C/C=C\C)/C	CN(CCCCCCOc1ccc2c(nsc2c1)c1ccc(Br)cc1)CC=C	CN(CCCCCCOc1ccc2c(nn(C)c2c1)c1ccc(Br)cc1)CC=C
C(=C(\C=N)/C(F)F)\C=C\NCCCN(c1cnccc1)/C(=C/C=C(\C)/C(F)(F)F)/C	FC(F)(F)c1ccc(cc1)N(C1CCN(CC1)c1ccc(cn1)C(F)(F)F)c1cccnc1	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(c1ccccccccccccccFFccccccFcFccc1
NCc1cc2c(nc(c3ccccc3)[nH]2)cc1	NC(=[NH2+])c1ccc2nc([nH]c2c1)c1ccccc1O	NCC1Cccccccccccccccccccccccccccccccc
O=C(C(=O)NC(O)[C@H](O)[C@H](C)O)NC1CC1	OC[C@H]1O[C@@H](NC(=O)C(=O)NC2CC2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)N)[C@H](O)[C@@H](O)[C@@H]1O
C(CO)c1c([nH]c2c1cccc2)C=O	OC(=O)Cc1c([nH]c2c(Cl)cc(Cl)cc12)C(=O)O	OC(=O)[C@@H]1Cc2ccccc2NC1=O
CC(NC(=O)[C@@H](NC(=O)C1O[C@@H]1C(=O)OCC)CCC)C	CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)O	CCCCC[[C@H](NC(=O)O[C@H](CC(=O)N[C@@H](CO)C(=O)O)C(=O)O)C(=O)OC
C=C/C(=C\C=C)/C=C/C=C(\C)/SN	NS(=O)(=O)c1ccc(cc1)c1ccccc1	NS(=O)(=O)c1ccc(cc1)c1ccccc1
O1CCN(CC1)C(=O)c1cc(NC/N=C(\C=C/N)/c2c(C)nc(NC)s2)ccc1	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)C(=O)N2CCOCC2)ncc1C#N	CN1CCN(CC1)c1ccccc1CNc1ccc(cn1)C(=O)N
c1(nc(ncc1)c1ccccn1)NCCNC(=C)/N=C/C(F)F	Cc1nc(nc(NCCNc2cccc(n2)C(F)(F)F)c1Cl)c1ccccn1	Fc1ccc(cn1)C(=O)N1CCC[C@H]1c1cc(Nc2nccc(c2cccc)cc
C(=C)(/C(=C/C=C(\C)/C=N\CN)/C)/C=C\C=C	COc1ccccc1c1ccc2c(N)nc(N)nc2c1	Cc1nc2ccccc2cccccccccccccccccccc
